version,dataset,patch_size,blocks,threads,time
./bin/v1,./data/noise_image_tulips_const.txt,3,128,64,0.027025
./bin/v1,./data/noise_image_tulips_const.txt,3,128,128,0.025385
./bin/v1,./data/noise_image_tulips_const.txt,3,128,256,0.025888
./bin/v1,./data/noise_image_tulips_const.txt,3,128,512,0.035844
./bin/v1,./data/noise_image_tulips_const.txt,3,128,1024,0.037004
./bin/v1,./data/noise_image_tulips_const.txt,3,128,2048,0.000832
./bin/v1,./data/noise_image_tulips_const.txt,3,256,32,0.032847
./bin/v1,./data/noise_image_tulips_const.txt,3,256,64,0.031162
./bin/v1,./data/noise_image_tulips_const.txt,3,256,128,0.032655
./bin/v1,./data/noise_image_tulips_const.txt,3,256,256,0.031585
./bin/v1,./data/noise_image_tulips_const.txt,3,256,512,0.045913
./bin/v1,./data/noise_image_tulips_const.txt,3,256,1024,0.047618
./bin/v1,./data/noise_image_tulips_const.txt,3,256,2048,0.000805
./bin/v1,./data/noise_image_tulips_const.txt,3,512,32,0.035075
./bin/v1,./data/noise_image_tulips_const.txt,3,512,64,0.036271
./bin/v1,./data/noise_image_tulips_const.txt,3,512,128,0.038943
./bin/v1,./data/noise_image_tulips_const.txt,3,512,256,0.036860
./bin/v1,./data/noise_image_tulips_const.txt,3,512,512,0.051505
./bin/v1,./data/noise_image_tulips_const.txt,3,512,1024,0.051517
./bin/v1,./data/noise_image_tulips_const.txt,3,512,2048,0.000803
./bin/v1,./data/noise_image_tulips_const.txt,3,1024,32,0.035867
./bin/v1,./data/noise_image_tulips_const.txt,3,1024,64,0.035990
./bin/v1,./data/noise_image_tulips_const.txt,3,1024,128,0.039173
./bin/v1,./data/noise_image_tulips_const.txt,3,1024,256,0.036879
./bin/v1,./data/noise_image_tulips_const.txt,3,1024,512,0.051554
./bin/v1,./data/noise_image_tulips_const.txt,3,1024,1024,0.051544
./bin/v1,./data/noise_image_tulips_const.txt,3,1024,2048,0.000814
./bin/v1,./data/noise_image_tulips_const.txt,3,2048,32,0.037022
